party,percentage_2014,percentage_2019,percentage_difference
JDP,0.0203,0.0000,-0.0203
AITC,4.0798,4.0590,-0.0208
MCO,0.0212,0.0000,-0.0212
PPOI,0.0357,0.0126,-0.0231
nuzp,0.0240,0.0000,-0.0240
RPI(A),0.0388,0.0116,-0.0272
JKN,0.0763,0.0456,-0.0306
LSP,0.0319,0.0000,-0.0319
JKP,0.0392,0.0057,-0.0335
VCK,0.1166,0.0826,-0.0340
JaSPa,0.0393,0.0000,-0.0393
WPOI,0.0440,0.0038,-0.0402
NPEP,0.1109,0.0694,-0.0415
JBSP,0.0415,0.0000,-0.0415
TRS,1.2954,1.2532,-0.0422
MAMAK,0.0455,0.0000,-0.0455
SDPI,0.0763,0.0276,-0.0486
PT,0.0505,0.0000,-0.0505
SJD,0.0592,0.0000,-0.0592
QED,0.0682,0.0000,-0.0682
BBM,0.0694,0.0010,-0.0684
CPI(ML)(L),0.1881,0.1159,-0.0722
SWP,0.2125,0.1359,-0.0767
BMUP,0.1468,0.0661,-0.0807
RSPS,0.0882,0.0046,-0.0835
SAD,0.6992,0.6152,-0.0840
SUCI,0.0927,0.0000,-0.0927
PECP,0.0998,0.0049,-0.0949
PWPI,0.0957,0.0000,-0.0957
JKPDP,0.1409,0.0137,-0.1272
NPF,0.1912,0.0592,-0.1321
HJCBL,0.1353,0.0000,-0.1353
MNS,0.1362,0.0000,-0.1362
JD(S),0.7176,0.5629,-0.1547
AD,0.1577,0.0000,-0.1577
YSRCP,2.6913,2.5297,-0.1616
AIFB,0.2330,0.0525,-0.1804
JVM,0.3038,0.1222,-0.1815
RSP,0.3204,0.1156,-0.2049
AIUDF,0.4486,0.2283,-0.2204
CPI,0.8085,0.5823,-0.2262
DMDK,0.3998,0.1514,-0.2484
MDMK,0.2726,0.0000,-0.2726
NCP,1.6606,1.3840,-0.2766
RJD,1.4309,1.0799,-0.3510
IND,3.0553,2.7001,-0.3552
INLD,0.5384,0.0391,-0.4993
TDP,2.7113,2.0378,-0.6735
BSP,4.3141,3.6222,-0.6919
SP,3.5831,2.5477,-1.0354
AAAP,2.1224,0.4423,-1.6801
ADMK,3.4829,1.3526,-2.1303
CPM,3.4495,0.0000,-3.4495
NULL,NULL,0.0000,NULL
