state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Rajasthan,Jalore,"DEVJI PATEL ",BJP,Lotus,580304,204,580508,1824968,"Devaji Patel",BJP,Lotus,772383,450,772833,2071244,56.7584
Haryana,Ambala,"RATTAN LAL KATARIA",BJP,Lotus,611902,219,612121,1692424,"RATTAN LAL KATARIA",BJP,Lotus,744438,2070,746508,1853711,56.7154
"Uttar Pradesh",Lucknow,"RAJ NATH SINGH",BJP,Lotus,559033,2073,561106,1949956,"Rajnath Singh",BJP,Lotus,627881,5145,633026,2040367,56.7002
"Uttar Pradesh",Akbarpur,"DEVENDRA SINGH @ BHOLE SINGH",BJP,Lotus,481379,205,481584,1768635,"Devendra Singh 'Bhole'",BJP,Lotus,577603,3679,581282,1766121,56.6931
"Uttar Pradesh","Kushi Nagar","RAJESH PANDEY URF GUDDU",BJP,Lotus,369917,134,370051,1680992,"VIJAY KUMAR DUBEY",BJP,Lotus,595508,1531,597039,1761564,56.6926
Maharashtra,"Mumbai North East","KIRIT  SOMAIYA",BJP,Lotus,524895,390,525285,1668357,"Manoj Kotak",BJP,Lotus,513579,1020,514599,1588693,56.6120
"NCT OF Delhi","SOUTH DELHI                   ","RAMESH BIDHURI",BJP,Lotus,497151,829,497980,1752748,"RAMESH BIDHURI",BJP,Lotus,685789,1225,687014,2067463,56.5806
Maharashtra,Dhule,"DR. BHAMRE SUBHASH RAMRAO",BJP,Lotus,526821,2629,529450,1675367,"Bhamre Subhash Ramrao",BJP,Lotus,610268,3265,613533,1908173,56.5448
"Uttar Pradesh",Agra,"DR. RAM SHANKAR KATHERIA",BJP,Lotus,583141,575,583716,1814739,"Satyapal Singh Baghel",BJP,Lotus,644459,2416,646875,1937690,56.4797
Bihar,Begusarai,"BHOLA SINGH",BJP,Lotus,427987,240,428227,1778759,"Giriraj Singh",BJP,Lotus,687577,4616,692193,1958382,56.4782
Karnataka,Dharwad,"PRALHAD JOSHI",BJP,Lotus,544857,538,545395,1578125,"Pralhad Joshi",BJP,Lotus,682557,2280,684837,1727311,56.4346
"Uttar Pradesh",Aligarh,"SATISH KUMAR",BJP,Lotus,514554,68,514622,1793126,"SATISH KUMAR GAUTAM",BJP,Lotus,651805,4410,656215,1887127,56.4154
"Uttar Pradesh",Bansgaon,"KAMLESH PASWAN",BJP,Lotus,417597,362,417959,1760090,"Kamlesh Paswan",BJP,Lotus,544434,2239,546673,1751258,56.4083
Gujarat,Patan,"LILADHARBHAI KHODAJI VAGHELA",BJP,Lotus,515579,2959,518538,1628641,"DABHI BHARATSINHJI SHANKARJI",BJP,Lotus,629813,3555,633368,1807043,56.2366
Maharashtra,"Latur ","DR. SUNIL BALIRAM GAIKWAD",BJP,Lotus,614557,1952,616509,1686957,"Sudhakar Tukaram Shrangare",BJP,Lotus,657590,3905,661495,1886657,56.2237
"West Bengal","Diamond harbour","ABHISHEK BANERJEE",AITC,"Flowers and Grass",508130,351,508481,1555914,"ABHISHEK BANERJEE",AITC,"Flowers and Grass",790725,402,791127,1719190,56.1480
Bihar,Ujiarpur,"NITYANAND RAI",BJP,Lotus,317339,13,317352,1426217,"Nityanand Rai",BJP,Lotus,542341,1565,543906,1612300,56.1142
Haryana,Kurukshetra,"RAJ KUMAR SAINI",BJP,Lotus,417961,151,418112,1498459,"NAYAB SINGH",BJP,Lotus,686588,2041,688629,1657335,55.9769
"Uttar Pradesh","Rae Bareli","SONIA GANDHI",INC,Hand,526433,1,526434,1594954,"SONIA GANDHI",INC,Hand,533687,1231,534918,1702248,55.8046
