state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Assam,Dhubri,"BADRUDDIN AJMAL",AIUDF,"Lock and Key",592338,231,592569,1550166,"BADRUDDIN AJMAL",AIUDF,"Lock and Key",718131,633,718764,1858566,42.6565
Jharkhand,Dumka,"SHIBU SOREN",JMM,"Bow & Arrow",335686,129,335815,1273049,"SHIBU SOREN",JMM,"Bow & Arrow",436158,1175,437333,1397253,42.6264
Maharashtra,"Amravati ","ADSUL ANANDRAO VITHOBA",SHS,"Bow & Arrow",465363,1849,467212,1612739,"Adsul Anandrao Vithoba",SHS,"Bow and Arrow",470549,3447,473996,1833091,42.6108
Punjab,Hoshiarpur,"VIJAY SAMPLA",BJP,Lotus,346341,302,346643,1485286,"SOM PARKASH",BJP,Lotus,416711,4609,421320,1597500,42.5236
"West Bengal","Dum dum","SAUGATA ROY",AITC,"Flowers and Grass",482278,966,483244,1405981,"SOUGATA RAY",AITC,"Flowers and Grass",511707,355,512062,1566196,42.5068
"Uttar Pradesh",Rampur,"DR. NEPAL SINGH",BJP,Lotus,358590,26,358616,1616972,"Jayaprada Nahata",BJP,Lotus,448630,550,449180,1679506,42.3387
"West Bengal",Medinipur,"SANDHYA ROY",AITC,"Flowers and Grass",579881,560,580441,1499673,"Manas Ranjan Bhunia",AITC,"Flowers and Grass",595972,509,596481,1674236,42.3092
"Uttar Pradesh",Jaunpur,"KRISHNA PRATAP ''''''''K.P.''''''''",BJP,Lotus,366856,293,367149,1848842,"KRISHNA PRATAP SINGH K.P.",BJP,Lotus,439292,900,440192,1867976,42.2996
"Andhra Pradesh",Hindupur,"KRISTAPPA NIMMALA",TDP,Bicycle,600507,3784,604291,1446496,"KRISTAPPA . NIMMALA",TDP,Bicycle,561602,4252,565854,1578218,42.2748
"West Bengal",Balurghat,"ARPITA GHOSH",AITC,"Flowers and Grass",408857,784,409641,1254497,"Arpita Ghosh",AITC,"Flowers and Grass",505463,561,506024,1431704,42.2444
Telangana,Secundrabad,"BANDARU DATTATREYA",BJP,Lotus,437860,411,438271,1893741,"G . KISHAN REDDY",BJP,Lotus,384248,532,384780,1968276,42.0476
Karnataka,Mandya,C.S.PUTTARAJU,JD(S),"A lady farmer carrying paddy on her head",523942,428,524370,1669262,"NIKHIL KUMARASWAMY",JD(S),"A lady farmer carrying paddy on her head",576545,1239,577784,1712004,41.8924
Telangana,Mahbubnagar,"AP JITHENDER REDDY",TRS,Car,332581,1647,334228,1418668,"MANNE SRINIVAS REDDY",TRS,Car,411241,161,411402,1506102,41.7822
"Andhra Pradesh","Chittoor ","NARAMALLI SIVAPRASAD",TDP,Bicycle,590938,3924,594862,1451851,"NARAMALLI SIVA PRASAD",TDP,Bicycle,545374,4147,549521,1566499,41.6470
Telangana,Zahirabad,"B.B. PATIL",TRS,Car,505983,2678,508661,1445354,B.B.PATIL,TRS,Car,434066,178,434244,1498666,41.5797
Maharashtra,Chandrapur,"AHIR HANSRAJ GANGARAM",BJP,Lotus,507503,546,508049,1753690,"Ahir Hansraj Gangaram",BJP,Lotus,512728,2016,514744,1910188,41.5628
"West Bengal",Barrackpore,"DINESH TRIVEDI",AITC,"Flowers and Grass",478253,953,479206,1287222,"DINESH TRIVEDI",AITC,"Flowers and Grass",457870,267,458137,1436431,41.4785
"Andhra Pradesh",Kakinada,"THOTA NARASIMHAM",TDP,Bicycle,512045,2357,514402,1418290,"CHALAMALASETTY SUNIL",TDP,Bicycle,508361,3531,511892,1563930,41.4603
"Madhya Pradesh",GUNA,"JYOTIRADITYA M SCINDIA",INC,Hand,516300,736,517036,1605613,"JYOTIRADITYA M. SCINDIA",INC,Hand,486105,2395,488500,1675724,41.4537
"Andhra Pradesh",Anantapur,"J.C. DIVAKAR REDDI",TDP,Bicycle,606849,3439,610288,1536894,"J.C. PAVAN REDDY",TDP,Bicycle,550597,3183,553780,1664160,41.2559
"Tamil Nadu",Dharmapuri,"ANBUMANI RAMADOSS",PMK,Mango,467775,419,468194,1358273,"ANBUMANI RAMADOSS",PMK,Mango,501013,3222,504235,1485804,41.2224
Kerala,Thiruvananthapuram,"DR. SHASHI THAROOR",INC,Hand,296319,1487,297806,1272748,"Dr. SHASHI THAROOR",INC,Hand,414057,2074,416131,1371427,41.1937
"Andhra Pradesh","Machilipatnam ","KONAKALLA NARAYANA RAO",TDP,Bicycle,583374,3906,587280,1369311,"KONAKALLA NARAYANA RAO",TDP,Bicycle,509887,2725,512612,1473347,41.1879
"Andhra Pradesh",Narasaraopet,"SAMBASIVA RAO RAYAPATI",TDP,Bicycle,629706,2758,632464,1514861,"RAYAPATI SAMBASIVARAO",TDP,Bicycle,589344,2211,591555,1670391,41.1539
Maharashtra,Madha,"MOHITE PATIL VIJAYSINH SHANKARRAO",NCP,Clock,489260,729,489989,1727322,"Sanjaymama Vitthalrao Shinde",NCP,Clock,498441,2109,500550,1909574,41.1529
Bihar,Araria,"TASLEEM UDDIN",RJD,"Hurricane Lamp",407975,3,407978,1587332,"SARFARAZ ALAM",RJD,"Hurricane Lamp",481120,73,481193,1805439,41.1406
Punjab,Bathinda,"HARSIMRAT KAUR BADAL",SAD,Scales,514562,165,514727,1525289,"Harsimrat Kaur Badal",SAD,Scales,490811,2013,492824,1621671,41.0410
"West Bengal",Hooghly,"DR. RATNA DE (NAG)",AITC,"Flowers and Grass",613118,1194,614312,1630042,"DR. RATNA DE (NAG)",AITC,"Flowers and Grass",597482,604,598086,1766601,41.0254
Assam,"Karimganj ","RADHESHYAM BISWAS",AIUDF,"Lock and Key",362605,261,362866,1165997,"RADHESHYAM BISWAS",AIUDF,"Lock and Key",434519,138,434657,1340173,41.0026
"West Bengal",Bangaon,"KAPIL KRISHNA THAKUR",AITC,"Flowers and Grass",550003,1210,551213,1540713,"MAMATA THAKUR",AITC,"Flowers and Grass",575382,646,576028,1704632,40.9181
Jharkhand,Singhbhum,"LAXMAN GILUWA",BJP,Lotus,303079,52,303131,1152632,"LAXMAN GILUWA",BJP,Lotus,359159,501,359660,1269917,40.9016
"Uttar Pradesh",Sambhal,"SATYAPAL SINGH",BJP,Lotus,359678,564,360242,1693229,"PARAMESHVAR LAL SAINI",BJP,Lotus,482466,714,483180,1828764,40.8274
"West Bengal",Bishnupur,"KHAN SAUMITRA",AITC,"Flowers and Grass",578255,615,578870,1466921,"SHYAMAL SANTRA",AITC,"Flowers and Grass",578560,412,578972,1627199,40.7541
Karnataka,Chikkballapur,"M VEERAPPA MOILY",INC,Hand,424491,309,424800,1658410,"M.Veerappa Moily",INC,Hand,563396,406,563802,1808780,40.6501
"Uttar Pradesh",Ghazipur,"MANOJ SINHA",BJP,Lotus,306791,138,306929,1801519,"MANOJ SINHA",BJP,Lotus,443188,3502,446690,1881077,40.4015
"Andhra Pradesh",Anakapalli,"MUTTAMSETTI SRINIVASA RAO (AVANTHI)",TDP,Bicycle,566667,1796,568463,1401474,"ADARI ANAND KUMAR",TDP,Bicycle,495381,1653,497034,1521363,40.1322
Kerala,Alappuzha,"K C VENUGOPAL",INC,Hand,461101,1424,462525,1271324,"Adv. SHANIMOL OSMAN",INC,Hand,433790,1706,435496,1356701,40.0004
"Uttar Pradesh",Saharanpur,"RAGHAV LAKHANPAL",BJP,Lotus,472261,738,472999,1608833,"RAGHAV LAKHANPAL",BJP,Lotus,489942,1780,491722,1739082,39.9207
"Uttar Pradesh",Nagina,"YASHWANT SINGH",BJP,Lotus,367683,142,367825,1493419,"DR. YASHWANT SINGH",BJP,Lotus,399348,2198,401546,1586117,39.7785
Karnataka,Kolar,K.H.MUNIYAPPA,INC,Hand,418349,577,418926,1492977,"K.H. MUNIYAPPA",INC,Hand,498259,885,499144,1629961,39.6602
"Uttar Pradesh",Ghosi,"HARINARAYAN RAJBHAR",BJP,Lotus,379739,58,379797,1891112,HARINARAYAN,BJP,Lotus,449212,2049,451261,1991651,39.5572
Maharashtra,Nanded,"ASHOK SHANKARRAO CHAVAN",INC,Hand,491292,1783,493075,1687057,"Ashok Shankarrao Chavan",INC,Hand,442138,4520,446658,1719322,39.5500
"Uttar Pradesh",Kaushambi,"VINOD KUMAR SONKAR",BJP,Lotus,331480,244,331724,1738509,"VINOD KUMAR SONKAR",BJP,Lotus,381517,1492,383009,1787120,39.3056
"Tamil Nadu",Krishnagiri,"ASHOK KUMAR.K",ADMK,"Two Leaves",480441,50,480491,1379957,K.P.MUNUSAMY,ADMK,"Two Leaves",453388,1145,454533,1530404,39.1377
Maharashtra,Hatkanangle,"RAJU SHETTY",SWP,Whistle,639191,1237,640428,1630604,"Raju Anna Shetti",SWP,Bat,487276,2461,489737,1776555,39.1098
Telangana,Nizamabad,"KALVAKUNTLA KAVITHA",TRS,Car,435706,3601,439307,1496193,"KALVAKUNTLA KAVITHA",TRS,Car,409481,228,409709,1553385,38.5511
"Andhra Pradesh","Eluru ","MAGANTI VENKATESWARA RAO (BABU)",TDP,Bicycle,620374,3097,623471,1427764,"MAGANTTI VENKATESWARA RAO BABU",TDP,Bicycle,509549,1335,510884,1594950,38.4724
"West Bengal",Jalpaiguri,"BIJOY CHANDRA BARMAN",AITC,"Flowers and Grass",493913,860,494773,1531469,"BIJOY CHANDRA BARMAN",AITC,"Flowers and Grass",575547,594,576141,1735464,38.3858
Punjab,Jalandhar,"SANTOKH SINGH CHAUDHARY",INC,Hand,380467,12,380479,1551497,"Santokh Singh Chaudhary",INC,Hand,385449,263,385712,1617018,37.8521
Punjab,Sangrur,"BHAGWANT MANN",AAAP,Broom,533191,46,533237,1424743,"BHAGWANT MANN",AAAP,Broom,412201,1360,413561,1529431,37.3963
"Uttar Pradesh",Lalganj,"NEELAM SONKAR",BJP,Lotus,324004,12,324016,1661470,"Neelam Sonker",BJP,Lotus,356328,895,357223,1751980,37.1887
Kerala,Pathanamthitta,"ANTO ANTONY",INC,Hand,358435,407,358842,1323906,"ANTO ANTONY",INC,Hand,380089,838,380927,1382741,37.1074
"Tamil Nadu",Tiruppur,V.SATHYABAMA,ADMK,"Two Leaves",442300,478,442778,1375589,"ANANDAN, M.S.M.",ADMK,"Two Leaves",414782,575,415357,1530014,37.0992
"West Bengal",Ranaghat,"TAPAS MANDAL",AITC,"Flowers and Grass",588545,1906,590451,1602849,"RUPALI BISWAS",AITC,"Flowers and Grass",548736,1089,549825,1762252,37.0493
"Andhra Pradesh",Rajahmundry,"MURALI MOHAN MAGANTI",TDP,Bicycle,627653,2920,630573,1421276,"MAGANTI ROOPA",TDP,Bicycle,459100,1290,460390,1534256,36.8186
"West Bengal",Alipurduars,"DASRATH TIRKEY",AITC,"Flowers and Grass",361685,768,362453,1470911,"DASRATH TIRKEY",AITC,"Flowers and Grass",505885,930,506815,1648383,36.7200
Punjab,Ludhiana,"RAVNEET SINGH BITTU",INC,Hand,300424,35,300459,1561201,"RAVNEET SINGH BITTU",INC,Hand,383284,511,383795,1683325,36.6582
"Tamil Nadu",Salem,PANNERSELVAM.V,ADMK,"Two Leaves",556061,485,556546,1498350,SARAVANAN.K.R.S,ADMK,"Two Leaves",458118,1258,459376,1612512,36.5903
"West Bengal",Bankura,"SREEMATI  DEV VARMA (MOON MOON SEN)",AITC,"Flowers and Grass",482911,544,483455,1503812,"SUBRATA MUKHERJEE",AITC,"Flowers and Grass",500122,864,500986,1648906,36.5189
"Andhra Pradesh","Amalapuram ","DR PANDULA RAVINDRA BABU",TDP,Bicycle,591480,3067,594547,1357865,"GANTI HARISH MADHUR (BALAYOGI)",TDP,Bicycle,443590,2573,446163,1459556,36.1882
Bihar,Karakat,"UPENDRA KUSHWAHA",BLSP,"Ceiling Fan",338821,71,338892,1580558,"UPENDRA KUSHWAHA",BLSP,"Ceiling Fan",312269,1597,313866,1771254,36.1265
Maharashtra,Kolhapur,"DHANANJAY BHIMRAO MAHADIK",NCP,Clock,607184,481,607665,1758293,"Dhananjay Mahadik",NCP,Clock,476820,1697,478517,1880496,35.9557
Kerala,Idukki,"ADV.JOICE GEORGE",IND,"Battery Torch",381638,381,382019,1158735,"Adv, JOICE GEORGE",IND,"Battery Torch",326701,739,327440,1204191,35.6185
Telangana,"Karimnagar ","VINOD KUMAR BOINAPALLY",TRS,Car,503197,2161,505358,1550810,"BOIANAPALLI VINOD KUMAR",TRS,Car,408560,208,408768,1651543,35.6164
Punjab,"Anandpur Sahib","PREM SINGH CHANDUMAJRA",SAD,Scales,347347,47,347394,1564721,"Professor Prem Singh Chandumajra",SAD,Scales,379552,1609,381161,1698876,35.2363
"Tamil Nadu",Kanniyakumari,"RADHAKRISHNAN P.",BJP,Lotus,372572,334,372906,1467796,"RADHAKRISHNAN. P",BJP,Lotus,364598,2704,367302,1501250,35.0353
"Tamil Nadu",Pollachi,MAHENDRAN.C,ADMK,"Two Leaves",416366,726,417092,1381505,"MAHENDRAN. C",ADMK,"Two Leaves",377546,801,378347,1520504,34.9714
"West Bengal","Maldaha Dakshin","ABU HASEM KHAN CHOWDHURY",INC,Hand,379646,645,380291,1347143,"ABU HASEM KHAN CHOWDHURY (DALU)",INC,Hand,443540,730,444270,1575590,34.7302
"West Bengal",Purulia,"DR. MRIGANKA MAHATO",AITC,"Flowers and Grass",466980,1297,468277,1471933,"Dr. MRIGANKA MAHATO",AITC,"Flowers and Grass",462785,590,463375,1645884,34.1915
"Jammu & Kashmir",Ladakh,"THUPSTAN CHHEWANG",BJP,Lotus,30731,380,31111,166763,"Jamyang Tsering Namgyal",BJP,Lotus,41315,1599,42914,179232,33.9440
"Tamil Nadu","Nilgiris ","GOPALAKRISHNAN, C.",ADMK,"Two Leaves",463270,430,463700,1269173,"THIYAGARAJAN, M.",ADMK,"Two Leaves",341649,360,342009,1366060,33.8382
"Tamil Nadu",Arani,V.ELUMALAI,ADMK,"Two Leaves",501662,1059,502721,1369668,"ELUMALAI V",ADMK,"Two Leaves",385294,1660,386954,1449150,33.8274
"Tamil Nadu","Tenkasi ",VASANTHI.M,ADMK,"Two Leaves",424009,577,424586,1382081,Dr.KRISHNASAMY.K,ADMK,"Two Leaves",353735,1654,355389,1492317,33.3671
Bihar,Kishanganj,"MOHAMMAD ASRARUL HAQUE",INC,Hand,493294,167,493461,1438990,"Dr. Mohammad Jawed",INC,Hand,366820,197,367017,1659651,33.3166
"Tamil Nadu",Erode,"SELVAKUMARA CHINNAYAN S",ADMK,"Two Leaves",466382,613,466995,1321399,"MANIMARAN G",ADMK,"Two Leaves",352330,643,352973,1462246,33.0541
"Uttar Pradesh",Maharajganj,PANKAJ,BJP,Lotus,471541,1,471542,1743131,"PANKAJ CHOUDHARY",BJP,Lotus,725557,792,726349,1915408,33.0216
Assam,Kokrajhar,"NABA KUMAR SARANIA (HIRA)",IND,"Battery Torch",634111,317,634428,1505472,"Naba Kumar Sarania",IND,"Battery Torch",482556,2004,484560,1776358,32.7519
Bihar,Bhagalpur,"SHAILESH KUMAR URPH BULO MANDAL",RJD,"Hurricane Lamp",367619,4,367623,1685339,"SHAILESH KUMAR ALIAS VULO MANDAL",RJD,"Hurricane Lamp",339999,625,340624,1823820,32.6732
"Tamil Nadu",Tirunelveli,PRABAKARAN.K.R.P,ADMK,"Two Leaves",397777,362,398139,1420435,"PAUL MANOJ PANDIAN",ADMK,"Two Leaves",336070,1203,337273,1547800,32.4192
Manipur,"Inner manipur","DR. THOKCHOM MEINYA",INC,Hand,292085,17,292102,855360,"OINAM NABAKISHORE SINGH",INC,Hand,244972,905,245877,937464,32.3820
"Tamil Nadu","Kancheepuram ","MARAGATHAM  K",ADMK,"Two Leaves",499010,385,499395,1480123,"Maragatham K",ADMK,"Two Leaves",396432,940,397372,1643992,32.1080
"Tamil Nadu",Namakkal,"SUNDARAM P.R",ADMK,"Two Leaves",562899,373,563272,1329552,"KALIAPPAN P",ADMK,"Two Leaves",360541,601,361142,1413599,31.8531
"Tamil Nadu",Tiruvannamalai,"VANAROJA R",ADMK,"Two Leaves",499337,1414,500751,1352966,"AGRI KRISHNAMURTHY S S",ADMK,"Two Leaves",360256,1829,362085,1473862,31.4384
Puducherry,Puducherry,"R. RADHAKRISHNAN",AINRC,Jug,255732,94,255826,901357,"Dr. NARAYANASAMY KESAVAN",AINRC,Jug,247844,112,247956,973410,31.3567
Telangana,Nagarkurnool,"YELLAIAH NANDI",INC,Hand,419040,1035,420075,1477305,"DR MALLU RAVI",INC,Hand,309732,192,309924,1588111,31.3103
"Tamil Nadu","Nagapattinam ","GOPAL. DR. K",ADMK,"Two Leaves",433242,932,434174,1210626,"SARAVANAN M",ADMK,"Two Leaves",311014,525,311539,1303649,31.0853
Kerala,Thrissur,"C. N. JAYADEVAN",CPI,"Ears of Corn And Sickle",388774,435,389209,1275288,"RAJAJI MATHEW THOMAS",CPI,"Ears of Corn And Sickle",320887,569,321456,1337110,30.8538
"Tamil Nadu",Mayiladuthurai,"BHARATHI MOHAN R.K",ADMK,"Two Leaves",512756,973,513729,1350318,"ASAIMANI. S",ADMK,"Two Leaves",337448,530,337978,1484842,30.8025
Punjab,"Khadoor Sahib","RANJIT SINGH BRAHMPURA",SAD,Scales,467238,94,467332,1563409,"BIBI JAGIR KAUR",SAD,Scales,317690,1447,319137,1638842,30.5093
"Tamil Nadu",Madurai,R.GOPALAKRISHNAN,ADMK,"Two Leaves",453366,419,453785,1441434,"RAJ SATYEN V.V.R",ADMK,"Two Leaves",307033,647,307680,1539026,30.2827
Telangana,"Adilabad ","GODAM NAGESH",TRS,Car,425762,5085,430847,1386282,"Godam Nagesh",TRS,Car,318665,149,318814,1489790,29.9713
Bihar,Supaul,"RANJEET RANJAN",INC,Hand,332925,2,332927,1525583,"Ranjeet Ranjan",INC,Hand,330258,266,330524,1690620,29.7554
"Tamil Nadu","Thiruvallur ",VENUGOPAL.P.(DR),ADMK,"Two Leaves",628370,129,628499,1702833,Dr.P.Venugopal,ADMK,"Two Leaves",409274,1063,410337,1946870,29.1393
"Arunachal Pradesh","ARUNACHAL EAST","NINONG ERING",INC,Hand,116347,2108,118455,312704,"Lowangcha Wanglat",INC,Hand,80378,3557,83935,339788,28.5706
Bihar,Madhepura,"RAJESH RANJAN @ PAPPU YADAV",RJD,"Hurricane Lamp",368876,61,368937,1725693,"Sharad Yadav",RJD,"Hurricane Lamp",322410,397,322807,1884883,28.1369
Bihar,Banka,"JAI PRAKASH NARAYAN YADAV",RJD,"Hurricane Lamp",285148,2,285150,1549456,"JAI PRAKASH NARAYAN YADAV",RJD,"Hurricane Lamp",276856,400,277256,1699394,27.8424
"Uttar Pradesh",Hamirpur,"KUNWAR PUSHPENDRA SINGH CHANDEL",BJP,Lotus,453866,18,453884,1737993,"KUNWAR PUSHPENDRA SINGH CHANDEL",BJP,Lotus,574101,1021,575122,1749100,27.6695
"Tamil Nadu","Chennai South","DR. J. JAYAVARDHAN",ADMK,"Two Leaves",434229,311,434540,1795776,Dr.J.JAYAVARDHAN,ADMK,"Two Leaves",302152,497,302649,1973533,26.8817
Maharashtra,"Hingoli ","RAJEEV SHANKARRAO SATAV",INC,Hand,466483,914,467397,1586194,"Wankhede Subhashrao Bapurao",INC,Hand,306928,1528,308456,1733729,26.6481
"Tamil Nadu",Perambalur,"MARUTHARAJAA, R.P.",ADMK,"Two Leaves",462077,616,462693,1285576,"SIVAPATHY, N.R",ADMK,"Two Leaves",279439,740,280179,1391853,25.4069
"Tamil Nadu",Karur,"THAMBIDURAI,M.",ADMK,"Two Leaves",539128,1594,540722,1298322,"Thambidurai M",ADMK,"Two Leaves",274455,696,275151,1387286,24.9420
"Jammu & Kashmir",Anantnag,"MEHBOOBA MUFTI",JKPDP,"Ink Pot & Pen",200407,22,200429,1301143,"MEHBOOBA MUFTI",JKPDP,"Ink Pot & Pen",30223,301,30524,1397779,24.4395
Assam,"Autonomous District","BIREN SINGH ENGTI",INC,Hand,213038,114,213152,702230,"BIREN SINGH ENGTI",INC,Hand,141344,346,141690,795945,22.9370
"West Bengal","Maldaha Uttar","MAUSAM NOOR",INC,Hand,388241,368,388609,1425428,"ISHA KHAN CHOUDHURY",INC,Hand,304964,306,305270,1685955,22.5340
"West Bengal",Jangipur,"ABHIJIT MUKHERJEE",INC,Hand,378032,169,378201,1391656,"ABHIJIT MUKHERJEE",INC,Hand,255554,282,255836,1616213,19.6117
Maharashtra,Aurangabad,"CHANDRAKANT BHAURAO KHAIRE",SHS,"Bow & Arrow",520559,343,520902,1589395,"Chandrakant Khaire",SHS,"Bow and Arrow",383759,791,384550,1886284,18.0276
Manipur,"Outer manipur","THANGSO BAITE",INC,Hand,296618,152,296770,919009,"K. James",INC,Hand,151103,1407,152510,1022099,17.7745
Assam,Barpeta,"SIRAJ UDDIN AJMAL",AIUDF,"Lock and Key",394580,122,394702,1430188,"Rafiqul Islam",AIUDF,"Lock and Key",248360,307,248667,1685149,17.0489
Punjab,Faridkot,"PROF. SADHU SINGH",AAAP,Broom,450632,119,450751,1455075,"Prof. Sadhu Singh",AAAP,Broom,114610,709,115319,1541971,11.8282
"Jammu & Kashmir",Baramulla,"MUZAFFAR HUSSAIN BAIG",JKPDP,"Ink Pot & Pen",175277,0,175277,1190766,"ABDUL QAYOOM WANI",JKPDP,"Ink Pot & Pen",53307,223,53530,1317738,11.7506
Haryana,Sirsa,"CHARANJEET SINGH RORI",INLD,Spectacles,506213,157,506370,1660557,"Charanjeet Singh Rori",INLD,Spectacles,87979,114,88093,1803349,6.4326
Punjab,"Fatehgarh Sahib","HARINDER SINGH KHALSA",AAAP,Broom,367231,62,367293,1396957,"BANDEEP SINGH",AAAP,Broom,62553,328,62881,1502861,6.3777
Punjab,Patiala,"DR. DHARAM VIRA GANDHI",AAAP,Broom,365644,27,365671,1580273,"Neena Mittal",AAAP,Broom,56610,267,56877,1739600,4.8287
"Andhra Pradesh",Visakhapatnam,"KAMBHAMPATI HARI BABU",BJP,Lotus,565326,1506,566832,1723011,"DAGGUBATI PURANDESWARI",BJP,Lotus,33430,462,33892,1829300,2.7338
"Andhra Pradesh",Narsapuram,"GOKARAJU GANGA RAJU",BJP,Lotus,537498,2808,540306,1325028,"PYDIKONDALA MANIKYALA RAO",BJP,Lotus,12154,260,12414,1439691,1.0541
Bihar,Katihar,"TARIQ ANWAR",NCP,Clock,431172,120,431292,1446478,"MUHAMMAD SHAKUR",NCP,Clock,9234,14,9248,1653353,0.8274
Haryana,Hisar,"DUSHYANT CHAUTALA",INLD,Spectacles,494213,265,494478,1517606,"SURESH KOTH",INLD,Spectacles,9739,22,9761,1631817,0.8273
Assam,Kokrajhar,"NABA KUMAR SARANIA (HIRA)",IND,"Battery Torch",634111,317,634428,1505472,"Ranjoy Kr. Brahma",IND,SHIP,10733,55,10788,1776358,0.7292
Assam,Kokrajhar,"NABA KUMAR SARANIA (HIRA)",IND,"Battery Torch",634111,317,634428,1505472,"Prasanjit Kumar Das",IND,Helicopter,9822,137,9959,1776358,0.6731
Kerala,Idukki,"ADV.JOICE GEORGE",IND,"Battery Torch",381638,381,382019,1158735,GOMATHY,IND,Hat,1981,4,1985,1204191,0.2159
Kerala,Idukki,"ADV.JOICE GEORGE",IND,"Battery Torch",381638,381,382019,1158735,"BABY K. A.",IND,Camera,1554,2,1556,1204191,0.1693
Kerala,Chalakudy,INNOCENT,IND,Pot,358020,420,358440,1150497,"M R SATHYADEVAN",IND,Coat,1432,0,1432,1230197,0.1446
Kerala,Idukki,"ADV.JOICE GEORGE",IND,"Battery Torch",381638,381,382019,1158735,"REJI NJALLANI",IND,Key,1324,0,1324,1204191,0.1440
Kerala,Chalakudy,INNOCENT,IND,Pot,358020,420,358440,1150497,SUBRAMANIAN,IND,"Dish Antenna",1000,0,1000,1230197,0.1010
Kerala,Chalakudy,INNOCENT,IND,Pot,358020,420,358440,1150497,"FREDY JACKSON PEREIRA",IND,Key,681,1,682,1230197,0.0689
Kerala,Chalakudy,INNOCENT,IND,Pot,358020,420,358440,1150497,"JOHNSON K C",IND,Almirah,354,1,355,1230197,0.0359
Kerala,Chalakudy,INNOCENT,IND,Pot,358020,420,358440,1150497,"NOBY AUGUSTINE",IND,"Gas Stove",318,0,318,1230197,0.0321
Telangana,Malkajgiri,"CH.MALLA REDDY",TDP,Bicycle,522423,933,523356,3183083,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Munger,"VEENA DEVI",LJP,Bungalow,352863,48,352911,1719984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Karnataka,Tumkur,MUDDAHANUMEGOWDA.S.P.,INC,Hand,429635,233,429868,1518518,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kerala,Kasaragod,"P KARUNAKARAN",CPM,"Hammer, Sickle and Star",384209,755,384964,1243730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Kallakurichi,"KAMARAJ. K",ADMK,"Two Leaves",531365,2018,533383,1412499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Ramanathapuram,"ANWAR RAAJHAA. A ",ADMK,"Two Leaves",405470,475,405945,1455988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Thoothukkudi,"JEYASINGH THIYAGARAJ NATTERJEE.J",ADMK,"Two Leaves",365382,670,366052,1310406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"West Bengal",Raiganj,"MD. SALIM",CPM,"Hammer, Sickle and Star",316863,652,317515,1387526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dadra & Nagar Haveli","Dadar & Nagar Haveli","PATEL NATUBHAI GOMANBHAI",BJP,Lotus,80790,0,80790,196597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Nawada,"GIRIRAJ SINGH",BJP,Lotus,390205,43,390248,1694895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu","Chennai central","S.R. VIJAYAKUMAR",ADMK,"Two Leaves",333103,193,333296,1328038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Uttar Pradesh",Pratapgarh,"KUWAR HARIVANSH SINGH",AD,Scissors,375099,690,375789,1716394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Telangana,"Khammam ","PONGULETI  SRINIVASA REDDY",YSRCP,"Ceiling Fan",418609,3825,422434,1440267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Sitamarhi,"RAM KUMAR SHARMA",BLSP,"Ceiling Fan",411222,43,411265,1574914,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maharashtra,"Palghar ","ADV. CHINTAMAN NAVASHA WANGA",BJP,Lotus,532996,205,533201,1578149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mizoram,MIZORAM,"C. L. RUALA",INC,Hand,209573,912,210485,702170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jammu & Kashmir",Srinagar,"TARIQ HAMEED KARRA",JKPDP,"Ink Pot & Pen",157923,0,157923,1207230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Arakkonam,"HARI, G.",ADMK,"Two Leaves",492667,867,493534,1401813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Sivaganga,"SENTHILNATHAN PR",ADMK,"Two Leaves",475726,267,475993,1412373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Virudhunagar,"RADHAKRISHNAN T",ADMK,"Two Leaves",406232,462,406694,1350495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
